,,,With respect to Operations,,,With respect to N,,
,,,X,Y,Z,X,Y,
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1001,sample_strategy_1_w10_h500,10,1001,sample_strategy_1_w10_h500
,100,,10,1001,sample_strategy_1_w10_h500,10,1001,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,10,1003,sample_strategy_1_w10_h500,10,1003,sample_strategy_1_w10_h500
,100,,20,2004,sample_strategy_1_w20_h500,20,2004,sample_strategy_1_w20_h500
,100,,20,2007,sample_strategy_1_w20_h500,20,2007,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2006,sample_strategy_1_w20_h500,20,2006,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2005,sample_strategy_1_w20_h500,20,2005,sample_strategy_1_w20_h500
,100,,20,2004,sample_strategy_1_w20_h500,20,2004,sample_strategy_1_w20_h500
,100,,20,2004,sample_strategy_1_w20_h500,20,2004,sample_strategy_1_w20_h500
,100,,50,5012,sample_strategy_1_w50_h500,50,5012,sample_strategy_1_w50_h500
,100,,50,5010,sample_strategy_1_w50_h500,50,5010,sample_strategy_1_w50_h500
,100,,50,5014,sample_strategy_1_w50_h500,50,5014,sample_strategy_1_w50_h500
,100,,50,5010,sample_strategy_1_w50_h500,50,5010,sample_strategy_1_w50_h500
,100,,50,5013,sample_strategy_1_w50_h500,50,5013,sample_strategy_1_w50_h500
,100,,50,5013,sample_strategy_1_w50_h500,50,5013,sample_strategy_1_w50_h500
,100,,50,5011,sample_strategy_1_w50_h500,50,5011,sample_strategy_1_w50_h500
,100,,50,5013,sample_strategy_1_w50_h500,50,5013,sample_strategy_1_w50_h500
,100,,50,5010,sample_strategy_1_w50_h500,50,5010,sample_strategy_1_w50_h500
,100,,100,10029,sample_strategy_1_w100_h500,100,10029,sample_strategy_1_w100_h500
,100,,100,10021,sample_strategy_1_w100_h500,100,10021,sample_strategy_1_w100_h500
,100,,100,10021,sample_strategy_1_w100_h500,100,10021,sample_strategy_1_w100_h500
,100,,100,10024,sample_strategy_1_w100_h500,100,10024,sample_strategy_1_w100_h500
